Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,0.085292,0.085806,0.082636,0.084469,0.084469,42076400
2018-10-02,0.084604,0.084681,0.082388,0.082525,0.082525,34775200
2018-10-03,0.082032,0.082405,0.079175,0.080789,0.080789,38063700
2018-10-04,0.080818,0.082789,0.080534,0.081304,0.081304,31665100
2018-10-05,0.081381,0.083091,0.080690,0.082991,0.082991,31160900
2018-10-06,0.083309,0.083729,0.080985,0.081303,0.081303,26277600
2018-10-07,0.081454,0.085151,0.080741,0.084658,0.084658,34848400
2018-10-08,0.084531,0.088169,0.083198,0.086607,0.086607,62079800
2018-10-09,0.086773,0.087511,0.084461,0.086357,0.086357,38710200
2018-10-10,0.086345,0.086432,0.083542,0.084679,0.084679,35888200
2018-10-11,0.084525,0.084552,0.070026,0.070939,0.070939,72659700
2018-10-12,0.070339,0.075880,0.069839,0.073214,0.073214,40979000
2018-10-13,0.072637,0.074890,0.072471,0.073103,0.073103,23571900
2018-10-14,0.073063,0.073775,0.070715,0.071293,0.071293,26250600
2018-10-15,0.070436,0.078624,0.069773,0.074789,0.074789,71953000
2018-10-16,0.074788,0.076625,0.074392,0.075814,0.075814,26555800
2018-10-17,0.075860,0.078271,0.075102,0.077408,0.077408,36907800
2018-10-18,0.077536,0.077955,0.074260,0.075131,0.075131,28634400
2018-10-19,0.075022,0.076463,0.074427,0.075836,0.075836,18153800
2018-10-20,0.075789,0.077146,0.075202,0.076342,0.076342,20363900
2018-10-21,0.076305,0.077536,0.075602,0.075873,0.075873,17620200
2018-10-22,0.075754,0.076510,0.075145,0.075776,0.075776,16871700
2018-10-23,0.075864,0.076139,0.073072,0.074743,0.074743,20710600
2018-10-24,0.074612,0.075652,0.074150,0.074321,0.074321,14151400
2018-10-25,0.074289,0.074345,0.073163,0.073859,0.073859,12567300
2018-10-26,0.073748,0.073960,0.072679,0.073713,0.073713,13464800
2018-10-27,0.073687,0.073792,0.072868,0.072886,0.072886,10316000
2018-10-28,0.073030,0.073296,0.072361,0.073166,0.073166,11226100
2018-10-29,0.073042,0.073215,0.068899,0.069627,0.069627,21315700
2018-10-30,0.069632,0.070024,0.069226,0.069647,0.069647,11418800
2018-10-31,0.069723,0.069829,0.067883,0.069705,0.069705,16366000
2018-11-01,0.069698,0.071464,0.069119,0.070867,0.070867,11256600
2018-11-02,0.070814,0.073040,0.070788,0.072584,0.072584,18823400
2018-11-03,0.072561,0.072621,0.070822,0.071479,0.071479,14948900
2018-11-04,0.071492,0.077307,0.071291,0.076229,0.076229,52924200
2018-11-05,0.075961,0.078880,0.074745,0.076148,0.076148,34358100
2018-11-06,0.076337,0.080952,0.076337,0.080952,0.080952,49473200
2018-11-07,0.081020,0.081310,0.078017,0.078544,0.078544,36852900
2018-11-08,0.078391,0.079424,0.076263,0.076493,0.076493,32149600
2018-11-09,0.076324,0.077429,0.073912,0.074226,0.074226,23756800
2018-11-10,0.074167,0.075992,0.074056,0.075221,0.075221,15012100
2018-11-11,0.075165,0.077373,0.074438,0.076481,0.076481,23663500
2018-11-12,0.076818,0.077216,0.074949,0.076001,0.076001,20975100
2018-11-13,0.075883,0.075965,0.073252,0.073603,0.073603,20329300
2018-11-14,0.073439,0.073441,0.061800,0.064824,0.064824,54964400
2018-11-15,0.064847,0.065245,0.058250,0.063543,0.063543,60267800
2018-11-16,0.063242,0.064053,0.060242,0.061151,0.061151,27544700
2018-11-17,0.061062,0.061062,0.059554,0.060675,0.060675,17926300
2018-11-18,0.060803,0.062933,0.060803,0.061916,0.061916,16669400
2018-11-19,0.061903,0.061903,0.051989,0.052582,0.052582,53737000
2018-11-20,0.052658,0.052732,0.042868,0.044777,0.044777,65556800
2018-11-21,0.045149,0.048230,0.043027,0.047780,0.047780,33938000
2018-11-22,0.047885,0.048532,0.044255,0.044255,0.044255,18689900
2018-11-23,0.044062,0.044662,0.041671,0.043412,0.043412,24258500
2018-11-24,0.043420,0.044301,0.036933,0.038458,0.038458,25740400
2018-11-25,0.038628,0.038836,0.032798,0.037725,0.037725,40704000
2018-11-26,0.037761,0.039378,0.034117,0.035806,0.035806,31641100
2018-11-27,0.035682,0.036982,0.034029,0.036461,0.036461,17966300
2018-11-28,0.036510,0.044108,0.036510,0.042021,0.042021,47624500
2018-11-29,0.042269,0.044518,0.039716,0.041866,0.041866,39544072
2018-11-30,0.041984,0.042309,0.037721,0.038916,0.038916,28861639
2018-12-01,0.038991,0.042521,0.038157,0.041468,0.041468,19314340
2018-12-02,0.041350,0.043286,0.040690,0.041672,0.041672,23206023
2018-12-03,0.041874,0.041884,0.038027,0.038671,0.038671,21282053
2018-12-04,0.038557,0.039842,0.037387,0.037699,0.037699,23563420
2018-12-05,0.037659,0.037714,0.034251,0.034251,0.034251,26250706
2018-12-06,0.034318,0.035501,0.030798,0.030798,0.030798,27195357
2018-12-07,0.030797,0.030797,0.027393,0.029864,0.029864,31750703
2018-12-08,0.029812,0.031807,0.028867,0.030678,0.030678,19987029
2018-12-09,0.030643,0.032515,0.030227,0.031693,0.031693,16588924
2018-12-10,0.031653,0.032068,0.029806,0.030203,0.030203,12553718
2018-12-11,0.030117,0.030434,0.028915,0.029551,0.029551,10444631
2018-12-12,0.029439,0.031115,0.029305,0.030609,0.030609,11071814
2018-12-13,0.030635,0.030722,0.029029,0.029190,0.029190,11234575
2018-12-14,0.029235,0.029557,0.027912,0.028358,0.028358,9205271
2018-12-15,0.028395,0.028568,0.027791,0.028274,0.028274,8387951
2018-12-16,0.028203,0.029697,0.028188,0.029103,0.029103,10366601
2018-12-17,0.029175,0.033850,0.029099,0.032824,0.032824,37555983
2018-12-18,0.032820,0.034912,0.032167,0.034735,0.034735,78783798
2018-12-19,0.034863,0.038265,0.034491,0.034545,0.034545,43168563
2018-12-20,0.034212,0.039886,0.034026,0.039401,0.039401,43040801
2018-12-21,0.039079,0.045510,0.038632,0.040796,0.040796,93581789
2018-12-22,0.040658,0.042156,0.038613,0.042009,0.042009,31227246
2018-12-23,0.042203,0.044855,0.041819,0.044230,0.044230,40656190
2018-12-24,0.044286,0.049282,0.044286,0.045716,0.045716,57936798
2018-12-25,0.045675,0.045675,0.039243,0.041511,0.041511,38493644
2018-12-26,0.041603,0.043035,0.039076,0.041198,0.041198,27218409
2018-12-27,0.041225,0.041690,0.036548,0.036944,0.036944,22969395
2018-12-28,0.037017,0.042634,0.036501,0.041862,0.041862,26948333
2018-12-29,0.041873,0.043940,0.041210,0.041508,0.041508,30992034
2018-12-30,0.041597,0.043665,0.040842,0.043280,0.043280,27767174
2018-12-31,0.043232,0.043364,0.040493,0.041063,0.041063,19280457
